ファイル名,アプリ名,価格表示有無,税込表示方式,計価単位,価格の視覚階層,ポイント表示有無,ポイント表示方式,ポイント表示位置,割引表示有無,割引表示方式,取消ポリシー有無,取消ポリシー表示方式,人数選択有無,児童選択有無,人数表示方式,評価表示有無,評価表示方式,CTA文言,特記事項,エラー
IMG_1718.PNG,一休,なし,該当なし,表示なし,該当なし,あり,「獲得ポイント」（具体的なポイント数値・付与条件の記載は画面内に見えない）,「いま最も売れている宿」セクションの直上、「すぐに使う」「貯める」切り替えボタンと同列,あり,「最大5%OFF」バッジ（黄色背景）＋「サマ割 セール開催中」テキスト（青色帯）,なし,該当なし,あり,なし,「2名 1室」,なし,該当なし,"「検索する」, 「すぐに使う」, 「貯める」, 「ログイン」",ポイントの使途を「すぐに使う／貯める」で切り替える導線が検索エリア直下に配置されており、ポイント活用を前面に出したUX設計が特徴的。また「一休の日　沖縄・北海道スペシャル」と「予約受付：5/19（火）正午まで」という期間限定訴求が画面上部に表示されている。,
IMG_1719.PNG,一休,あり,"2名 税込 16,278円〜",2名,"小さなグレー取消線付きで元値「16,610円〜」、その下に大きな黒字で割引後「16,278円〜」",あり,ポイント2%分利用で,価格の直上（元値取消線の上）,あり,"バナーで「最大5%OFF サマ割 セール開催中」と表示、かつ元値に取消線（16,610円〜）＋割引後価格（16,278円〜）",なし,該当なし,あり,なし,"2名 税込 16,278円〜",あり,3.67 ★★★☆☆ (586件),プランをみる,チェックイン時間が「IN 15:00〜26:00」と深夜0時超えを26:00表記する日本独自の時刻表現が使われており、本地化時に要注意。,
IMG_1720.PNG,一休,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,口コミセクションに「いいね 4」という共感ボタン形式の表示があり、投稿者名「うさちゃんのおばあちゃん」と日付「2026/3/10」が引用されている点、また施設からのお知らせとして「改装工事実施のお知らせ」が掲載されており、宿泊判断に影響しうる運営情報の開示形式として本地化観点で注目に値する。,
IMG_1721.PNG,一休,なし,該当なし,表示なし,価格表示なし（スクロール先に存在する可能性あり）,あり,「獲得ポイント」（具体的な数値・ブランド名の引用不可、ラベルのみ表示）,部屋・プラン切替タブの直上、「すぐに使う／貯める」トグルと並列,なし,該当なし,なし,該当なし,あり,なし,「2名1室」,なし,該当なし,該当なし,ポイントの使い方として「すぐに使う」「貯める」のトグル切替UIが存在し、ポイント活用方針をユーザーが選択できる設計になっている点が本地化観点で注目される。また検索条件は「日付指定なし 1泊」と日付未設定状態でも閲覧可能な設計。,
IMG_1722.PNG,一休,あり,該当なし,円〜,単一価格のみ表示（青字で「○○円〜」形式、選択中の日付は白字でハイライト）,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,「1泊」の泊数選択UI（－／＋ボタン）と「日付指定なし」「日帰り」チェックボックス、「空室待ち」という在庫ステータス表示（5月21日）が本地化観点で注目すべき表記であり、価格は税込・税抜の区別が明示されていない「円〜」形式のみ。,
IMG_1723.PNG,一休,あり,該当なし,円〜,"単一価格のみ表示（青字で「○○,○○○円〜」形式、カレンダーの各日付セルに表示）",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,あり,なし,2泊,なし,該当なし,該当なし,空室状況の表示として「空室なし」「空室待ち」というテキストが日付セルに直接表示されており、価格の代わりに在庫ステータスを日本語で明示する設計が本地化観点で特徴的。また「日付指定なし」「日帰り」というチェックボックスラベルが検索条件として存在する。,
IMG_1724.PNG,一休,なし,該当なし,表示なし,価格表示なし,あり,「獲得ポイント」（具体的なポイント数値の表示はなし）,「すぐに使う」「貯める」トグルの左側ラベルとして表示,なし,該当なし,なし,該当なし,あり,あり,「大人 2名」「子供 選択する」「室数 1室」／上部サマリー表示「2名1室」,なし,該当なし,「検索」,ポイントの使い方を「すぐに使う」「貯める」のトグルで切り替える仕組みが検索条件パネル内に配置されており、予約前段階でポイント利用意図を設定させる一休独自のUXフローが確認できる。,
IMG_1725.PNG,一休,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,あり,あり,「大人 2名」「室数 1室」／子供：「小学生（高学年 0名・低学年 0名）」「乳幼児（食事あり・寝具あり 0名／食事なし・寝具あり 0名／食事あり・寝具なし 0名／食事なし・寝具なし 0名）」,なし,該当なし,検索,乳幼児の選択肢が「食事あり・寝具あり」「食事なし・寝具あり」「食事あり・寝具なし」「食事なし・寝具なし」の4区分で細分化されており、日本の旅館特有の食事・寝具オプションを人数入力段階で区別している点が本地化観点で注目される。,
IMG_1726.PNG,一休,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,検索,部屋タイプ（ツイン12件・ダブル9件・トリプル2件）、食事（食事なし23件・朝食付22件・夕朝食付6件）、部屋のこだわり（禁煙18件・喫煙5件・高層階12件・夜景が自慢8件・お風呂から景色1件・40平米以上1件・ベッド幅160cm〜9件・バストイレ別1件）という絞り込みフィルター画面で、各選択肢に該当プラン件数が括弧付き数値で併記されている。,
IMG_1727.PNG,一休,あり,該当なし,1泊1室あたり,スライダー形式で「0円」〜「上限なし」の範囲入力。入力欄に「0」円「上限なし」円と表示,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,検索,レイトチェックアウトの選択肢が「指定なし」「11時以降」「12時以降」「13時以降」と時刻基準で表示されており、絞り込み条件としてチェックアウト時間を明示的に選べる設計になっている点が本地化観点で注目される。,
