ファイル名,アプリ名,ページ種別,業界,レイアウト,主要カラー,UIコンポーネント,フロー種別,UI状態,情報密度,注目ポイント,エラー
0a69cace-0e45-42d4-8f0f-cc31b235a5bf.webp,Trip.com,コンテンツ詳細,旅行,カード式,"ブルー (#1E5EFF), ホワイト (#FFFFFF), ピンク/レッド (#FF4D6A)","ボタン, タブ・セグメントコントロール, カード, タグ・ラベル, バッジ, ツールバー, リスト, バナー・アラート","購入・予約, 選択",通常状態,高,同一客室タイプに対して「払い戻し不可・13%オフ」と「キャンセル無料・29%オフ（初回予約価格）」の2つの料金プランを縦に並べて比較提示する構成を採用している。,
0ec505e4-fed0-477c-bc37-61ec5c93cae7.webp,Trip.com,口コミ・レビュー,旅行,カード式,"ネイビーブルー (#1A3A6B), ホワイト, ライトグレー",タブ・セグメントコントロール/レーティング/カード/リスト/アバター/タグ・ラベル/ボタン/ツールバー/バッジ,レビュー・評価,通常状態,高,AIサマリーカードと項目別スコアバー（清潔度・サービス・設備・ロケーション）を組み合わせ、43件の口コミを構造化して提示しつつ、画面下部に割引価格と予約CTAボタンを固定表示している。,
50d8e2fc-8bf8-4f59-a85b-7a2758af9447.webp,Trip.com,コンテンツ詳細,旅行,カード式,"ブルー (#1E6FDB), ホワイト, ピンク/レッド（割引バッジ）","ボタン, タブ・セグメントコントロール, カード, カルーセル, タグ・ラベル, バッジ, レーティング, リスト, ツールバー","購入・予約, 選択",通常状態,高,同一ホテル内の複数客室タイプをカード形式で縦並びに表示し、各カードに価格・割引率・残室数・キャンセルポリシー・食事条件を集約してCTAボタンと共に構成している。,
5da674ed-95de-4a17-9674-cd8c854a273b.webp,Trip.com,コンテンツ詳細,旅行,カード式,"ネイビー, ホワイト, ゴールド, ブルー","ボタン, タブ・セグメントコントロール, レーティング, マップ, カード, タグ・ラベル, バッジ, トースト, ツールバー, リスト","購入・予約, 選択",通常状態,高,ホテル詳細画面にて、航空写真サムネイル上部にお気に入り追加トーストが表示され、星評価・口コミスコア・施設設備・位置情報・チェックイン日程・割引価格・新規会員特典が1画面に集約されている。,
88af5a9f-fb1d-4860-9a0b-4b1ee3170bec.webp,Trip.com,コンテンツ詳細,旅行,リスト式,"ホワイト, ネイビー, ブルー","タブ・セグメントコントロール, テーブル, リスト, タグ・ラベル, ボタン, ツールバー",購入・予約,通常状態,中,ホテルの利用条件ページで年齢別料金テーブル・朝食・ペット・年齢要件をセクション分けして縦スクロール表示し、画面下部に割引価格と客室選択CTAボタンを固定配置している。,
99cdead2-eb41-42c2-b924-ee174d791629.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,ブルー（#1E5EBF）、ホワイト、グレー,"ボタン, スライダー, タグ・ラベル, レーティング, ドロップダウン, ツールバー, バッジ",フィルタ・並び替え,通常状態,中,絞り込み履歴セクションにスター評価別の選択済みタグが表示され、価格帯はスライダーと固定レンジボタンの併用、ホテルランクは星数別チェック式ボタンで構成されたボトムシート型フィルターパネル。,
cf721225-23f4-40b8-975c-21b2fe93ab42.webp,Trip.com,口コミ・レビュー,旅行,カード式,"ホワイト, ネイビーブルー, ゴールド",タブ・セグメントコントロール/カード/アバター/レーティング/タグ・ラベル/ボタン/リスト/バッジ/ツールバー,レビュー・評価,通常状態,中,口コミセクションとアメニティ＆サービスセクションが縦スクロールで連続配置され、下部に割引価格と予約CTAボタンが固定表示されている。,
d7de0830-f37c-439d-9db0-dd59e48ff557.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ネイビーブルー (#1B3A6B), ホワイト (#FFFFFF), ロイヤルブルー (#3D5AFE)","ボタン, タグ・ラベル, ツールバー, シート",フィルタ・並び替え,通常状態,中,宿泊施設タイプ・設備アメニティ・ベッド客室タイプの3カテゴリをボトムシート形式で表示し、各項目に件数バッジ付きタグと「更に表示」展開リンクを備えた絞り込みパネル構成。,
02c3d0a4-ed5d-4ea9-a9db-63dae57543a8.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ネイビー (#1A2B5E), ブルー (#4A6CF7), ティール (#00B2A9), ホワイト (#FFFFFF)","ボタン, タブ・セグメントコントロール, リスト, タグ・ラベル, ツールバー","フィルタ・並び替え, 選択",通常状態,中,左ペインにカテゴリ分類（直線距離/人気ロケーション/観光スポット/エリア/空港・鉄道駅）、右ペインに各ロケーション候補とユーザー選択率（%）を表示する2カラム構成のボトムシート型フィルターUIで、選択率上位3件のみパーセンテージがカラー強調されている。,
03128f99-d23b-4cfc-ac58-6224fb250d48.webp,Trip.com,カレンダー,宿泊旅行,カレンダー式,"ネイビー (#1B2B5E), ブルー (#2563EB), レッド (#EF4444), オレンジ (#F97316), ホワイト (#FFFFFF)","日付・時間選択, ツールチップ, バナー・アラート, ボタン, ツールバー, タグ・ラベル","購入・予約, 選択",パーシャルステート,中,チェックイン日（7月10日水曜）が青いハイライトで選択済みの状態で、ツールチップによりチェックアウト日の選択を促すステップ型日付選択UIが実装されており、画面下部には現地時間の注意バナーとチェックイン・チェックアウトのサマリーが固定表示されている。,
0c78ec87-5024-408d-b642-7b9918cc49e6.webp,Trip.com,ホーム,旅行,グリッド/カード式,"ブルー (#1A4FD6), ホワイト, イエロー, ピンク","検索フィールド, ボトムナビ, カード, カルーセル, バナー・アラート, タグ・ラベル, バッジ, アバター, ツールバー",検索,通常状態,高,上部に検索バーと履歴サジェスト、中段に8カテゴリのアイコングリッドナビゲーション、下段に4つのショートカットリンクとプロモーションカルーセル・バナーカードを組み合わせた多層構造のホーム画面。,
120cf62c-01c6-4bf5-975f-85a080eea6c5.webp,Trip.com,検索,旅行,リスト式,"ネイビー, ホワイト, グレー","検索フィールド, リスト, ツールバー, タグ・ラベル",検索,通常状態,中,検索フィールドがアクティブな状態で、ホテル・観光スポット・テーマパーク等が混在した検索履歴または候補リストが国名・地域名のサブテキスト付きで縦一列に表示されている。,
23e693fd-0e08-45cf-ae8d-22b0d23abfd9.webp,Trip.com,検索,旅行,グリッド,"白, ブルー, グレー","検索フィールド, カード, リスト, ツールバー",検索,通常状態,中,検索フィールドの下に現在地オプションと人気目的地6件（東京・ソウル・大阪・福岡・京都・札幌）を2列グリッドのサムネイル付きカードで表示している。,
2636431a-4159-4537-a84e-38c8cb3f65fe.webp,Trip.com,口コミ・レビュー,旅行,リスト式,"ホワイト, ブルー (#0D6EFD), ベージュ (通知バー背景)","テキストフィールド, ボタン, チェックボックス, カルーセル, タグ・ラベル, バナー・アラート, ツールバー","作成, 編集, レビュー・評価, シェア",パーシャルステート,中,旅行写真の投稿作成画面で、タイトル・本文・ハッシュタグ・位置情報の入力欄が縦一列に並び、LV4ミッション報酬バナーと文字数カウンターによる推奨マーク獲得の促進UIが上下に配置されている。,
